Battery temp, Charger temp, Battery voltage, Battery current, Battery capacity
26,Not,7932,4442,9
26,Not,7932,4441,9
26,Not,7933,4442,9
26,Not,7932,4442,9
26,Not,7932,4441,9
26,Not,7932,4441,9
26,Not,7932,4441,9
26,Not,7932,4442,9
26,Not,7932,4441,9
26,Not,7932,4441,9
26,Not,7932,4441,9
26,Not,7932,4442,9
26,Not,7932,4441,9
26,Not,7932,4441,10
26,Not,7932,4441,10
26,Not,7934,4441,10
26,Not,7935,4441,10
26,Not,7935,4441,10
26,Not,7935,4441,10
26,Not,7934,4441,10
26,Not,7934,4442,10
26,Not,7934,4441,10
26,Not,7935,4441,10
26,Not,7934,4441,10
26,Not,7934,4442,10
26,Not,7935,4441,10
26,Not,7935,4442,10
26,Not,7934,4441,10
26,Not,7934,4441,10
26,Not,7935,4441,10
26,Not,7934,4442,10
26,Not,7935,4442,10
26,Not,7935,4441,10
26,Not,7935,4441,10
26,Not,7935,4442,10
26,Not,7937,4441,10
26,Not,7937,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7936,4441,10
26,Not,7936,4441,10
26,Not,7936,4441,10
26,Not,7936,4441,10
26,Not,7936,4442,10
26,Not,7936,4441,10
26,Not,7937,4441,10
26,Not,7937,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7939,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7938,4441,10
26,Not,7940,4441,10
26,Not,7940,4441,10
26,Not,7941,4441,10
26,Not,7941,4441,10
26,Not,7939,4441,10
26,Not,7939,4441,10
26,Not,7939,4441,10
26,Not,7940,4442,10
26,Not,7939,4441,11
26,Not,7939,4441,11
26,Not,7940,4440,11
26,Not,7940,4441,11
26,Not,7940,4441,11
26,Not,7941,4440,11
26,Not,7941,4442,11
26,Not,7942,4440,11
26,Not,7944,4441,11
26,Not,7944,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7944,4441,11
26,Not,7944,4441,11
26,Not,7944,4441,11
26,Not,7942,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7943,4441,11
26,Not,7944,4441,11
26,Not,7944,4440,11
26,Not,7944,4441,11
26,Not,7944,4442,11
26,Not,7944,4441,11
26,Not,7946,4442,11
26,Not,7947,4441,11
26,Not,7947,4442,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7946,4441,11
26,Not,7946,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7947,4441,11
26,Not,7948,4441,11
26,Not,7948,4441,11
26,Not,7948,4441,11
26,Not,7948,4441,11
26,Not,7950,4441,12
26,Not,7951,4441,12
26,Not,7951,4441,12
26,Not,7951,4441,12
26,Not,7950,4441,12
26,Not,7950,4441,12
26,Not,7950,4441,12
26,Not,7951,4441,12
26,Not,7951,4441,12
26,Not,7951,4441,12
26,Not,7951,4441,12
26,Not,7952,4441,12
26,Not,7952,4441,12
26,Not,7951,4441,12
26,Not,7952,4441,12
26,Not,7952,4441,12
26,Not,7952,4441,12
26,Not,7952,4441,12
26,Not,7952,4441,12
26,Not,7952,4442,12
26,Not,7954,4440,12
26,Not,7955,4441,12
26,Not,7955,4441,12
26,Not,7955,4440,12
26,Not,7954,4440,12
26,Not,7954,4441,12
26,Not,7954,4440,12
26,Not,7955,4441,12
26,Not,7954,4441,12
26,Not,7955,4441,12
26,Not,7955,4441,12
26,Not,7955,4441,12
26,Not,7956,4441,12
26,Not,7956,4441,12
26,Not,7956,4441,12
26,Not,7957,4441,12
26,Not,7958,4440,12
26,Not,7957,4441,12
26,Not,7957,4441,12
26,Not,7957,4441,12
26,Not,7959,4441,12
26,Not,7959,4441,12
26,Not,7959,4441,12
26,Not,7960,4441,12
26,Not,7958,4441,12
26,Not,7958,4440,12
26,Not,7959,4441,12
26,Not,7959,4441,12
26,Not,7959,4441,12
26,Not,7959,4441,12
26,Not,7960,4441,13
26,Not,7960,4441,13
26,Not,7960,4441,13
26,Not,7960,4440,13
26,Not,7961,4441,13
26,Not,7962,4441,13
26,Not,7963,4440,13
26,Not,7964,4441,13
26,Not,7964,4440,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7963,4441,13
26,Not,7963,4441,13
26,Not,7963,4441,13
26,Not,7964,4440,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7964,4441,13
26,Not,7965,4441,13
26,Not,7965,4441,13
26,Not,7965,4441,13
26,Not,7965,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4440,13
26,Not,7969,4441,13
26,Not,7968,4440,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7968,4441,13
26,Not,7969,4441,13
26,Not,7969,4441,13
26,Not,7969,4440,13
26,Not,7969,4441,13
26,Not,7970,4441,13
26,Not,7970,4441,13
26,Not,7970,4441,13
26,Not,7970,4441,13
26,Not,7972,4441,13
26,Not,7973,4441,13
26,Not,7973,4441,13
26,Not,7973,4440,14
26,Not,7972,4441,14
26,Not,7972,4440,14
26,Not,7972,4441,14
26,Not,7973,4441,14
26,Not,7972,4440,14
26,Not,7973,4441,14
26,Not,7973,4441,14
26,Not,7974,4440,14
26,Not,7974,4441,14
26,Not,7974,4440,14
26,Not,7974,4441,14
26,Not,7975,4441,14
26,Not,7975,4440,14
26,Not,7977,4441,14
26,Not,7977,4441,14
26,Not,7977,4441,14
26,Not,7977,4440,14
26,Not,7977,4441,14
26,Not,7978,4441,14
26,Not,7978,4441,14
26,Not,7978,4440,14
26,Not,7978,4441,14
26,Not,7977,4440,14
26,Not,7977,4441,14
26,Not,7977,4440,14
26,Not,7977,4441,14
26,Not,7977,4441,14
26,Not,7978,4441,14
26,Not,7978,4441,14
26,Not,7978,4440,14
26,Not,7978,4440,14
26,Not,7979,4441,14
26,Not,7979,4441,14
26,Not,7979,4440,14
26,Not,7980,4441,14
26,Not,7981,4441,14
26,Not,7982,4440,14
26,Not,7982,4440,14
26,Not,7982,4441,14
26,Not,7981,4441,14
26,Not,7981,4441,14
26,Not,7981,4441,14
26,Not,7981,4440,14
26,Not,7982,4441,14
26,Not,7982,4440,14
26,Not,7982,4440,14
26,Not,7982,4441,14
26,Not,7982,4441,14
26,Not,7983,4440,15
26,Not,7983,4441,15
26,Not,7983,4440,15
26,Not,7984,4441,15
26,Not,7985,4441,15
26,Not,7985,4441,15
26,Not,7986,4440,15
26,Not,7986,4440,15
26,Not,7987,4441,15
26,Not,7986,4440,15
26,Not,7986,4441,15
26,Not,7986,4440,15
26,Not,7986,4440,15
26,Not,7986,4440,15
26,Not,7987,4441,15
26,Not,7986,4441,15
26,Not,7987,4441,15
26,Not,7988,4440,15
26,Not,7988,4441,15
26,Not,7988,4441,15
26,Not,7988,4440,15
26,Not,7988,4440,15
26,Not,7988,4440,15
26,Not,7988,4440,15
26,Not,7988,4441,15
26,Not,7989,4440,15
26,Not,7991,4440,15
26,Not,7991,4440,15
26,Not,7991,4441,15
26,Not,7991,4441,15
26,Not,7991,4440,15
26,Not,7990,4441,15
26,Not,7991,4440,15
26,Not,7991,4440,15
26,Not,7991,4441,15
26,Not,7991,4440,15
26,Not,7991,4440,15
26,Not,7992,4441,15
26,Not,7992,4440,15
26,Not,7992,4441,15
26,Not,7992,4440,15
26,Not,7992,4441,15
26,Not,7993,4440,15
26,Not,7993,4441,15
26,Not,7995,4441,15
26,Not,7995,4440,15
26,Not,7996,4440,15
26,Not,7996,4440,15
26,Not,7994,4441,15
26,Not,7994,4440,16
26,Not,7995,4440,16
26,Not,7995,4441,16
26,Not,7995,4440,16
26,Not,7996,4441,16
26,Not,7996,4440,16
26,Not,7996,4441,16
26,Not,7996,4440,16
26,Not,7996,4441,16
26,Not,7996,4440,16
26,Not,7997,4440,16
26,Not,7998,4441,16
26,Not,8000,4441,16
26,Not,8000,4440,16
26,Not,8000,4440,16
26,Not,8000,4441,16
26,Not,7999,4440,16
26,Not,7999,4440,16
26,Not,7999,4441,16
26,Not,7999,4440,16
26,Not,8001,4440,16
26,Not,7999,4440,16
26,Not,7999,4440,16
26,Not,8000,4440,16
26,Not,8000,4440,16
26,Not,8000,4440,16
26,Not,8000,4441,16
26,Not,8001,4440,16
26,Not,8001,4441,16
26,Not,8001,4440,16
26,Not,8002,4441,16
26,Not,8002,4440,16
26,Not,8002,4441,16
26,Not,8002,4440,16
26,Not,8002,4441,16
26,Not,8004,4440,16
26,Not,8004,4441,16
26,Not,8005,4441,16
26,Not,8005,4441,16
26,Not,8003,4441,16
26,Not,8004,4441,16
26,Not,8004,4440,16
26,Not,8004,4440,16
26,Not,8004,4441,16
26,Not,8004,4440,16
26,Not,8005,4440,16
26,Not,8005,4441,16
26,Not,8005,4440,16
26,Not,8005,4440,17
26,Not,8005,4440,17
26,Not,8006,4440,17
26,Not,8006,4441,17
26,Not,8007,4440,17
26,Not,8008,4441,17
26,Not,8009,4440,17
26,Not,8009,4440,17
26,Not,8008,4440,17
26,Not,8008,4441,17
26,Not,8008,4440,17
26,Not,8009,4441,17
26,Not,8009,4440,17
26,Not,8009,4441,17
26,Not,8009,4440,17
26,Not,8009,4440,17
26,Not,8009,4440,17
26,Not,8009,4440,17
26,Not,8010,4440,17
26,Not,8010,4440,17
26,Not,8010,4441,17
26,Not,8010,4440,17
26,Not,8010,4440,17
26,Not,8010,4440,17
26,Not,8010,4440,17
26,Not,8011,4440,17
26,Not,8012,4439,17
26,Not,8012,4441,17
26,Not,8013,4440,17
26,Not,8013,4441,17
26,Not,8012,4440,17
26,Not,8012,4440,17
26,Not,8012,4441,17
26,Not,8013,4440,17
26,Not,8013,4440,17
26,Not,8013,4440,17
26,Not,8013,4440,17
26,Not,8013,4441,17
26,Not,8013,4440,17
26,Not,8014,4441,17
26,Not,8014,4441,17
26,Not,8014,4440,17
26,Not,8014,4440,17
26,Not,8015,4440,17
26,Not,8017,4440,17
26,Not,8017,4440,17
26,Not,8017,4440,17
26,Not,8017,4440,17
26,Not,8016,4440,17
26,Not,8016,4440,18
26,Not,8016,4440,18
26,Not,8017,4440,18
26,Not,8017,4440,18
26,Not,8017,4440,18
26,Not,8017,4440,18
26,Not,8017,4440,18
26,Not,8017,4440,18
26,Not,8018,4440,18
26,Not,8018,4440,18
26,Not,8018,4440,18
26,Not,8019,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8022,4440,18
26,Not,8020,4440,18
26,Not,8020,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8020,4440,18
26,Not,8021,4441,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8021,4440,18
26,Not,8022,4440,18
26,Not,8022,4440,18
26,Not,8022,4440,18
26,Not,8022,4440,18
26,Not,8022,4440,18
26,Not,8022,4440,18
26,Not,8023,4439,18
26,Not,8023,4440,18
26,Not,8025,4440,18
26,Not,8025,4440,18
26,Not,8025,4440,18
26,Not,8026,4440,18
26,Not,8024,4440,18
26,Not,8024,4440,18
26,Not,8025,4440,18
26,Not,8025,4440,18
26,Not,8025,4439,18
27,Not,8025,4439,18
26,Not,8025,4440,18
26,Not,8025,4440,18
26,Not,8026,4440,18
27,Not,8026,4440,18
27,Not,8026,4440,19
27,Not,8026,4440,19
27,Not,8026,4440,19
27,Not,8026,4440,19
27,Not,8028,4440,19
27,Not,8029,4439,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8028,4439,19
27,Not,8028,4440,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8029,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4439,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8030,4440,19
27,Not,8032,4440,19
27,Not,8033,4440,19
27,Not,8033,4440,19
27,Not,8033,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8032,4440,19
27,Not,8033,4439,19
27,Not,8033,4440,19
27,Not,8033,4440,19
27,Not,8033,4439,19
27,Not,8033,4440,19
27,Not,8033,4440,19
27,Not,8036,4440,19
27,Not,8036,4440,19
27,Not,8036,4440,19
27,Not,8036,4440,19
27,Not,8035,4440,19
27,Not,8035,4440,19
27,Not,8035,4440,20
27,Not,8035,4439,20
27,Not,8035,4440,20
27,Not,8035,4440,20
27,Not,8036,4440,20
27,Not,8036,4440,20
27,Not,8036,4440,20
27,Not,8037,4441,20
27,Not,8037,4440,20
27,Not,8038,4440,20
27,Not,8037,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8040,4440,20
27,Not,8038,4439,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8040,4440,20
27,Not,8040,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8039,4440,20
27,Not,8040,4440,20
27,Not,8040,4440,20
27,Not,8040,4440,20
27,Not,8040,4440,20
27,Not,8040,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8043,4440,20
27,Not,8043,4440,20
27,Not,8041,4439,20
27,Not,8041,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8042,4440,20
27,Not,8043,4440,20
27,Not,8043,4439,20
27,Not,8043,4440,20
27,Not,8043,4441,21
27,Not,8045,4440,21
27,Not,8045,4440,21
27,Not,8045,4439,21
27,Not,8046,4440,21
27,Not,8046,4440,21
27,Not,8045,4439,21
27,Not,8045,4440,21
27,Not,8045,4440,21
27,Not,8045,4440,21
27,Not,8045,4440,21
27,Not,8046,4440,21
27,Not,8046,4440,21
27,Not,8045,4440,21
27,Not,8045,4440,21
27,Not,8045,4439,21
27,Not,8045,4440,21
27,Not,8046,4440,21
27,Not,8046,4440,21
27,Not,8046,4439,21
27,Not,8046,4440,21
27,Not,8046,4440,21
27,Not,8046,4440,21
27,Not,8049,4440,21
27,Not,8048,4440,21
27,Not,8049,4440,21
27,Not,8049,4439,21
27,Not,8047,4440,21
27,Not,8047,4440,21
27,Not,8047,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8048,4440,21
27,Not,8049,4440,21
27,Not,8049,4439,21
27,Not,8049,4440,21
27,Not,8051,4439,21
27,Not,8051,4439,21
27,Not,8051,4440,21
27,Not,8051,4440,21
27,Not,8051,4440,21
27,Not,8050,4439,21
27,Not,8050,4440,21
27,Not,8051,4440,21
27,Not,8051,4440,21
27,Not,8051,4440,21
27,Not,8052,4440,22
27,Not,8052,4439,22
27,Not,8052,4440,22
27,Not,8052,4440,22
27,Not,8051,4439,22
27,Not,8052,4440,22
27,Not,8052,4440,22
27,Not,8052,4439,22
27,Not,8054,4440,22
27,Not,8052,4440,22
27,Not,8052,4440,22
27,Not,8052,4440,22
27,Not,8054,4440,22
27,Not,8054,4439,22
27,Not,8054,4440,22
27,Not,8054,4439,22
27,Not,8053,4440,22
27,Not,8053,4439,22
27,Not,8053,4440,22
27,Not,8053,4439,22
27,Not,8054,4440,22
27,Not,8053,4440,22
27,Not,8053,4440,22
27,Not,8053,4440,22
27,Not,8054,4440,22
27,Not,8054,4440,22
27,Not,8054,4440,22
27,Not,8054,4439,22
27,Not,8054,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8057,4440,22
27,Not,8055,4440,22
27,Not,8055,4440,22
27,Not,8055,4440,22
27,Not,8055,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8056,4440,22
27,Not,8057,4440,22
27,Not,8057,4439,22
27,Not,8058,4440,22
27,Not,8059,4440,22
27,Not,8059,4439,22
27,Not,8059,4439,23
27,Not,8059,4439,23
27,Not,8059,4440,23
27,Not,8058,4440,23
27,Not,8058,4439,23
27,Not,8059,4439,23
27,Not,8059,4440,23
27,Not,8058,4440,23
27,Not,8058,4439,23
27,Not,8058,4440,23
27,Not,8058,4439,23
27,Not,8058,4440,23
27,Not,8058,4439,23
27,Not,8058,4440,23
27,Not,8059,4440,23
27,Not,8059,4440,23
27,Not,8059,4439,23
27,Not,8059,4440,23
27,Not,8059,4440,23
27,Not,8059,4440,23
27,Not,8061,4440,23
27,Not,8061,4440,23
27,Not,8061,4440,23
27,Not,8061,4440,23
27,Not,8060,4440,23
27,Not,8060,4439,23
27,Not,8060,4439,23
27,Not,8060,4440,23
27,Not,8060,4440,23
27,Not,8060,4440,23
27,Not,8061,4440,23
27,Not,8060,4439,23
27,Not,8061,4440,23
27,Not,8061,4440,23
27,Not,8061,4439,23
27,Not,8061,4440,23
27,Not,8061,4440,23
